City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dongyang,29.2678,120.2253,42.93,53,3,5.79,CN,1699831828
1,blackmans bay,-43.0167,147.3167,61.52,49,7,6.22,AU,1699831252
2,vila velha,-20.3297,-40.2925,80.94,84,0,9.22,BR,1699831256
3,waitangi,-43.9535,-176.5597,54.57,86,56,19.37,NZ,1699831242
4,amal,59.051,12.7049,31.39,84,25,8.39,SE,1699831829
5,sasebo,33.1592,129.7228,50.0,57,76,16.96,JP,1699831829
6,beli,7.8587,10.9719,78.39,68,45,2.39,NG,1699831830
7,isafjordur,66.0755,-23.124,35.47,82,100,4.09,IS,1699831232
8,urengoy,65.9667,78.3667,18.91,92,94,9.35,RU,1699831830
9,nar'yan-mar,67.6713,53.087,11.1,94,40,5.01,RU,1699831312
10,ust-nera,64.5667,143.2,-13.83,100,100,2.26,RU,1699831348
11,iqaluit,63.7506,-68.5145,-0.31,70,20,8.05,CA,1699831831
12,port-aux-francais,-49.35,70.2167,40.93,84,100,12.01,TF,1699831831
13,flying fish cove,-10.4217,105.6791,76.68,88,100,9.22,CX,1699831297
14,uturoa,-16.7333,-151.4333,81.61,77,8,7.78,PF,1699831250
15,bredasdorp,-34.5322,20.0403,55.87,85,2,0.85,ZA,1699831255
16,gombi,10.1614,12.7399,75.43,33,78,3.38,NG,1699831833
17,jamestown,42.097,-79.2353,39.02,67,0,6.91,US,1699831023
18,puerto natales,-51.7236,-72.4875,47.03,75,91,4.94,CL,1699831241
19,la passe,45.5549,-0.8967,59.99,91,100,9.64,FR,1699831380
20,port elizabeth,-33.918,25.5701,58.32,77,21,5.99,ZA,1699831284
21,khandyga,62.6667,135.6,-8.27,97,100,1.9,RU,1699831834
22,margaret river,-33.95,115.0667,58.8,89,100,13.8,AU,1699831255
23,whitehorse,60.7161,-135.0538,27.37,79,75,6.91,CA,1699831259
24,grytviken,-54.2811,-36.5092,37.47,90,100,3.15,GS,1699831835
25,edinburgh of the seven seas,-37.0676,-12.3116,57.4,83,7,22.1,SH,1699831835
26,saacow,1.6279,42.4407,77.04,87,80,6.62,SO,1699831835
27,alindao,5.0267,21.2088,69.71,99,59,2.84,CF,1699831836
28,bukama,-9.2,25.85,70.54,97,99,3.15,CD,1699831836
29,bethel,41.3712,-73.414,38.48,68,0,1.01,US,1699831241
30,mokhotlong,-29.2894,29.0675,48.58,73,8,2.01,LS,1699831837
31,harper,4.375,-7.7169,78.69,88,29,8.48,LR,1699831321
32,lyantor,61.6195,72.1555,28.44,96,99,12.12,RU,1699831837
33,auki,-8.7676,160.7034,81.52,79,99,1.32,SB,1699831837
34,albany,42.6001,-73.9662,33.67,74,5,1.39,US,1699831240
35,abaza,52.655,90.0928,28.67,91,100,3.2,RU,1699831838
36,papatowai,-46.5619,169.4708,54.36,95,100,1.57,NZ,1699831248
37,puerto san jose,13.9256,-90.8244,81.93,84,14,4.99,GT,1699831838
38,san patricio,28.017,-97.5169,62.83,95,100,10.63,US,1699831297
39,adamstown,-25.066,-130.1015,73.15,84,100,18.43,PN,1699831839
40,canico,32.6333,-16.85,70.43,83,75,4.61,PT,1699831839
41,puerto santa,-8.9906,-78.6456,67.35,86,76,11.07,PE,1699831839
42,anadyr,64.75,177.4833,30.7,80,81,20.13,RU,1699831249
43,badger,64.8,-147.5333,17.85,92,57,2.89,US,1699831252
